Mighty Camels (140-130-34),58,35,10,101,35,27,0,.2802,47.1,56,2,4,5,1,6.845,1.627,6-8-2
Ham Fighters (134-155-15),59,24,7,88,30,24,7,.3041,49.0,56,4,5,4,1,3.673,0.959,8-6-2
Man Bear Puig (141-137-26),45,26,5,77,31,22,1,.2632,46.1,41,5,3,9,0,3.108,1.209,11-3-2
The Bobos (139-135-30),40,21,5,64,21,12,2,.2597,42.1,51,2,3,6,3,4.252,1.228,3-11-2
Dickeys Spicy BonERA (178-107-19),65,35,15,119,43,16,6,.3283,52.0,52,5,4,6,0,3.115,1.038,11-4-1
Toronto Donkeys (130-156-18),54,26,5,89,21,19,0,.2919,58.0,43,4,4,0,4,2.793,1.103,4-11-1
Harare Antelopes (97-186-21),40,21,8,72,33,12,6,.2010,44.0,42,2,4,2,1,4.091,1.250,4-12-0
Explosive Renteria (136-145-23),41,24,3,58,19,18,1,.2500,64.0,67,5,6,5,3,3.516,1.031,12-4-0
Seaguel Gonzales (157-123-24),45,26,7,76,22,17,3,.2848,51.0,52,2,1,3,2,3.882,1.412,8-8-0
EEE's Parrots (152-130-22),58,25,6,87,27,15,1,.2788,41.1,38,4,4,4,0,2.831,1.282,8-8-0
